Nº da ordem;Texto breve;Operação;Texto breve operação;Centro de trabalho;Centro de trabalho Reponsável;Código ABC;Condições da instalação;Nº do equipamento;Centro de trabalho;Local de instalação;Plano de manutenção;Status do Sistema Operação;Status do sistema;Status do usuário;Data-base do início;Data-base do fim;Início Programado;Fim Programado;Data de início real;Hora de início real;Data de fim real;Hora de fim real;Trabalho real;Trabalho da operação;Unidade de trabalho;Data de entrada;Data de referência;Tipo de ordem;Nº da nota;Tipo de nota;Centro;Data da nota;Hora da nota;Data de encerramento da nota;Hora de encerramento da nota;Data de início da avaria;Hora de início da avaria;Data de fim da avaria;Hora de fim da avaria;Duração da parada;Status da nota;Sintoma do dano;Texto breve do dano;Código da causa;Texto breve da causa;Texto longo da causa;Hora início cent.trab.;Hora fim cent.trab.;Capacidade cent.trab.;Tipo de Atividade de Manutenção;Denominação TAM;Custos Planejados;Custos Reais;Moeda;Nº conta do Razão;Centro de custo receptor;Grupo Códigos;Parte do objeto;Nome responsável controle técnico;Código medidas;Texto descritivo medidas;Código de ação;Texto descritivo ações;Texto breve nota;Texto Parte do objeto
4150797;linha;10;* linha * * REALIZADO EM OUTRA OM;LIDER_PI;LIDER_PI;A;;LTP003;;1000-PINTU;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;02/01/2023;;02/01/2023;02/01/2023;12/01/2023;08:51:00;12/01/2023;08:53:00;0,033;0,0;H;02/01/2023;13/01/2023;PM01;10247442;M2;1000;02/01/2023;11:45:10;13/01/2023;10:51:51;02/01/2023;11:45:10;02/01/2023;11:46:00;0,00;MREL MSEN MSIM ORDA;;;;;;00:00:00;00:00:00;0,00;001;Inspeção;0,00;0,00;;;PB2-81160;;;;;;;;linha;
4150874;Rearme não está ativando.;10;* Rearme não está ativando. * Operação 10 - Angelo Luiz Brust das 09/01/2023 08:50 às 09/01/2023 09:15   - rearme nao ativa. nao foi identificado problema, maquina operando   normalmente. / / erro operacional;LIDER_FA;LIDER_FA;E;;FCP002;FCP002;1000-FABCE-CORTC;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;AGLE;09/01/2023;;09/01/2023;09/01/2023;09/01/2023;08:50:00;09/01/2023;09:15:00;0,417;0,0;H;09/01/2023;10/01/2023;PM01;10248220;M2;1000;09/01/2023;07:38:29;10/01/2023;07:20:43;09/01/2023;07:38:29;09/01/2023;09:00:00;1,36;MSEN MSIM ORDA;2002;ALARME;1057;PROCESSO PRODUÇÃO;;07:00:00;16:28:00;6,35;001;Inspeção;0,00;0,00;;0031102902;PB2-81190;;;;;;;;Rearme não está ativando.;
4150875;Pressão de ar comprimido;10;* Pressão de ar comprimido * Operação 10 - John Cesar Kensy das 09/01/2023 03:01 às 09/01/2023 03:15   - atividade realizada sobre ordem 4150877 las011 a qual se refere ao   mesmo problema de pressão baixa da rede de ar comprimido.;LIDER_SL;LIDER_SL;A;;LAS005;LAS005;1000-FABSL-SLCOR;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;AGLE;09/01/2023;;09/01/2023;09/01/2023;09/01/2023;03:01:00;09/01/2023;03:15:00;0,233;0,0;H;09/01/2023;11/01/2023;PM01;10248217;M2;1000;09/01/2023;02:33:47;11/01/2023;07:44:13;09/01/2023;02:33:47;09/01/2023;02:34:00;0,00;MSEN MSIM ORDA;;;;;;07:00:00;16:28:00;7,11;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;Pressão de ar comprimido;
4150876;circuito de segurança aberto;10;* circuito de segurança aberto * Operação 10 - John Cesar Kensy das 09/01/2023 05:16 às 09/01/2023 05:50   - alarme de rolamento magnético. / reiniciado equipamento e aliviado pressão da válvula da bomba de vácuo.;LIDER_SL;LIDER_SL;A;;LAS005;LAS005;1000-FABSL-SLCOR;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;AGLE;09/01/2023;;09/01/2023;09/01/2023;09/01/2023;05:16:00;09/01/2023;05:50:00;0,567;0,0;H;09/01/2023;11/01/2023;PM01;10248218;M2;1000;09/01/2023;03:15:23;11/01/2023;07:41:53;09/01/2023;03:15:23;09/01/2023;05:47:00;2,53;MSEN MSIM ORDA;2002;ALARME;1052;PERDA DE CONTROLE/COMANDO;;07:00:00;16:28:00;7,11;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;circuito de segurança aberto;
4150877;Pressão de ar comprimido;10;* Pressão de ar comprimido * Operação 10 - John Cesar Kensy das 09/01/2023 02:34 às 09/01/2023 03:00   - alarme de baixa pressão do ar comprimido, compressores de ar entraram   em falha, os mesmos foram resetados e religados manualmente, possível   pico de tensão da rede elétrica.;LIDER_SL;LIDER_SL;A;;LAS011;;1000-FABSL-SLCOR;;CONF ENTE IMPR;ENTE CONF IMPR CAPC DMNV NOLQ SCDM;AGLE;09/01/2023;;09/01/2023;29/06/2023;09/01/2023;02:34:00;09/01/2023;03:00:00;0,433;0,0;H;09/01/2023;29/06/2023;PM01;10248216;M2;1000;09/01/2023;02:30:09;12/01/2023;07:29:09;09/01/2023;02:30:09;09/01/2023;02:50:00;0,00;MSEN MSIM ORDA;2002;ALARME;1031;FALTA DE FASE;;00:00:00;00:00:00;0,00;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;Pressão de ar comprimido;
4150878;bomba hidráulica da serra;10;* bomba hidráulica da serra * Operação 10 - John Cesar Kensy das 09/01/2023 01:50 às 09/01/2023 02:15   - falha no inversor do hidráulico do serra o mesmo foi resetado e   testado equipamento.;LIDER_SL;LIDER_SL;A;;PER014;PER014;1000-FABSL-SLPER-PERTUB;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;AGLE;09/01/2023;;09/01/2023;09/01/2023;09/01/2023;01:50:00;09/01/2023;02:15:00;0,417;0,0;H;09/01/2023;11/01/2023;PM01;10248215;M2;1000;09/01/2023;01:52:52;11/01/2023;07:46:37;09/01/2023;01:52:52;09/01/2023;02:10:00;0,29;MSEN MSIM ORDA;2002;ALARME;1057;PROCESSO PRODUÇÃO;;07:00:00;16:28:00;7,62;001;Inspeção;0,00;0,00;;0031102902;PB2-81240;;;;;;;;bomba hidráulica da serra;
4150879;Problema no sensor;10;* Problema no sensor * Operação 10 - Jonas Alexandre Kaiber das 09/01/2023 19:02 às 09/01/2023   20:00 - Verificado sensor e fim de curso dos cames, Falta testar. * Item 2 * Operação 10 - Ederson Pereira do Amaral das 10/01/2023 08:00 às   10/01/2023 09:00 - acompanhado o processo e não ocorreu mais falha *;LIDER_SL;LIDER_SL;F;;PEX041;PEX041;1000-FABSL-SLPER-PEX041;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;AGLE;09/01/2023;;09/01/2023;09/01/2023;09/01/2023;19:02:00;10/01/2023;09:00:00;1,967;0,0;H;09/01/2023;11/01/2023;PM01;10248227;M2;1000;09/01/2023;08:04:21;11/01/2023;07:40:36;09/01/2023;08:04:21;10/01/2023;09:00:00;24,93;MSEN MSIM ORDA;2019;NÃO ENTRAM EM OPERAÇÃO;1015;DESAJUSTADA;;07:00:00;16:28:00;6,35;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;Problema no sensor;
4150895;curto circuito no barramento;10;* curto circuito no barramento * 09/01/23 DAS 07:00 AS 12:00(LUCAS/GABRIEL) * A TROCA DO BARRAMENTO.;LIDER_SL;LIDER_SL;B;;BES025;;1000-FABSL;;CNPA ENTE IMPR;ENTE CNPA IMPR CAPC DMNV MOME NOLQ;AGLE;09/01/2023;;09/01/2023;09/01/2023;09/01/2023;07:00:00;09/01/2023;12:00:00;10,000;0,0;H;09/01/2023;10/01/2023;PM01;10248222;M2;1000;09/01/2023;07:42:32;10/01/2023;13:36:37;09/01/2023;07:42:32;09/01/2023;12:00:00;0,00;MSEN MSIM ORDA;2016;MAU CONTATO;2017;MELHORIA DO PROCESSO;;00:00:00;00:00:00;0,00;001;Inspeção;601,00;4.412,85;BRL;0031102902;PB2-82140;;;;;;;;curto circuito no barramento;
4150910;parou de funcionar;10;* fazer levantamento * Flavio Natanael lops da silva das 25.01.2023 16:15 ás 25.01.2023   16:20-Efetuado conserto;LIDER_FA;LIDER_FA;H;;LXM146;;1000-FABCE-GRSOL;;CONF ENTE IMPR;ENTE CONF IMPR CAPC DMNV NOLQ SCDM;AGLE;03/01/2023;;05/01/2023;05/01/2023;25/01/2023;16:15:00;25/01/2023;16:20:00;0,083;1,0;H;03/01/2023;26/01/2023;PM01;10247449;M2;1000;03/01/2023;07:50:55;26/01/2023;18:51:04;;00:00:00;25/01/2023;16:20:00;0,00;MSEN MSIM ORDA;2004;ARREBENTADA;1007;CABO ROMPIDO;;00:00:00;00:00:00;0,00;001;Inspeção;2,00;0,00;BRL;0031102903;PB2-81340;;;;;;;;parou de funcionar;
4150926;Comandos invertidos;10;"* Comandos invertidos; * ,,05/11/2022 das 10:30 as 10:40 (fabio luis)- foi comunicado a   manutenção eletrica para realizar a correção pois o problema foi   ocasionado por manutenção da Kepler nos cabos de alimentação do quadro   geral";LIDER_SL;LIDER_SL;F;;PRO035;;1000-EXPOR-FERRA;;ENTE IMPR;ENTE IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;;00:00:00;;00:00:00;0,000;0,0;H;05/01/2023;05/01/2023;PM01;10247899;M2;1000;05/01/2023;07:33:36;05/01/2023;13:37:54;05/01/2023;07:33:36;05/01/2023;10:40:00;0,00;MSEN MSIM ORDA;2031;PREVENTIVA;1001;PREVENTIVA;;00:00:00;00:00:00;0,00;001;Inspeção;0,00;0,00;;0031102902;PB2-82330;;;;;;;;Comandos invertidos;
