Equipamento;Denominação do objeto técnico;Centro planejamento;Código ABC;Campo de ordenação;Centro custo;Ctg.equipamento;Local de instalação;Denominação do loc.instalação;Status do sistema;Empresa;Centro de trabalho;Tipo objeto técnico
10000000;SECADOR - ADS 2300 CI CA/REF S-2;1000;;;;M;2000-00101182-26651646002095;PJ - CDA - LAGOA DA CONFUSÃO/TO;INAT MONT;1010;;AT-SC
10000001;teste;1000;;;;P;;;INAT LIDI;1010;;
10000002;"Linga de aço-6M-1/2""";1000;C;;PB2-81130;P;;;INAT LIDI;1010;;
10000003;"335-Linga de aço-6M-1/2""";1000;C;TAG335;PB2-81130;P;;;INAT LIDI;1010;;
10000004;"336-Linga de aço-6M-1/2""";1000;C;TAG336;PB2-81130;P;;;INAT LIDI;1010;;
10000005;"C39-Linga de aço-6M-1/2""";1000;C;TAG339;PB2-81130;P;;;INAT LIDI;1010;;
10000006;"340-Linga de aço-6M-1/2""";1000;C;TAG340;PB2-81130;P;;;INAT LIDI;1010;;
10000007;1294-Cinta de poliester plana 4M Amarela;1000;C;TAG1294;PB2-81130;P;;;INAT LIDI;1010;;
10000008;434-Linga de corr 2,33M c/ gancho encurt;1000;C;TAG434;PB2-81450;P;;;INAT LIDI;1010;;
10000009;439-Linga de corr 2,33M c/ gancho encurt;1000;C;TAG439;PB2-81450;M;;;INAT LIDI;1010;;
10000010;440-Linga de corrente 1,59M, 4 ramais;1000;C;TAG440;PB2-81410;P;;;INAT LIDI;1010;;
10000011;441-Linga de corr 4 ramais 1,5 e 1,8 M;1000;C;TAG441;PB2-81410;P;;;INAT LIDI;1010;;
10000012;444-Olhal;1000;C;TAG444;PB2-81410;P;;;INAT LIDI;1010;;
10000013;445-Linga de corr 1,33M  c/ gancho espec;1000;C;TAG445;PB2-81410;P;;;INAT LIDI;1010;;
10000014;446-Linga de corrente, 2 ramais, 2,4 M;1000;C;TAG446;PB2-81410;M;;;INAT LIDI;1010;;
10000015;447-Linga de corrente, 2 ramais, 2,4 M;1000;C;TAG447;PB2-81410;P;;;INAT LIDI;1010;;
10000016;455-Barra de carga;1000;C;TAG455;PB2-81410;P;;;INAT LIDI;1010;;
10000017;456-Linga de corrente 1,45M;1000;C;TAG456;PB2-81410;P;;;INAT LIDI;1010;;
10000018;458-Linga de corrente, 2 ramais, 1,3 M;1000;C;TAG458;PB2-81410;P;;;INAT LIDI;1010;;
10000019;459-Linga de corrente 1,45M;1000;C;TAG459;PB2-81410;P;;;INAT LIDI;1010;;
10000020;914-Linga de corrente 1,33M;1000;C;TAG914 - DESATIVADO SEM LAUDO;PB2-81410;M;;;INAT LIDI;1010;;
10000021;931-Travessão p/ PRO  2T - TECEC;1000;C;TAG931;PB2-81450;M;;;INAT LIDI;1010;;
10000022;938-Linga de corr Lr1-1,22M e Lr2-1,09M,;1000;C;TAG938;PB2-81410;M;;;INAT LIDI;1010;;
10000023;939-LINGA DE CORR Lr1-1,22M/Lr2-1,09M;1000;C;TAG939;PB2-81410;M;;;INAT LIDI;1010;;
10000024;970-Linga de corrente 1,45M;1000;C;TAG970;PB2-81450;M;;;INAT LIDI;1010;;
10000025;1261-Linga de corrente, 4M, 2 ramais;1000;C;TAG1261;PB2-81410;M;;;INAT LIDI;1010;;
10000026;1269-TRAVESSÃO C/ CORR E GANCHO ENCURT;1000;C;TAG1269;PB2-81450;P;;;LIDI;1010;;
10000027;"1285-Gancho especial 1"" cap.500Kg";1000;C;TAG1285;PB2-81410;P;;;INAT LIDI;1010;;
10000028;"1287-Gancho especial 1"" cap.500Kg";1000;C;TAG1287;PB2-81410;P;;;INAT LIDI;1010;;
10000029;1296-Olhal Giratório CG-K2;1000;C;TAG1296;PB2-81410;P;;;INAT LIDI;1010;;
10000030;1297-Olhal Giratório CG-K2;1000;C;TAG1297;PB2-81410;P;;;INAT LIDI;1010;;
10000031;355-Levantador magnético Maxx 500;1000;C;;PB2-82330;P;;;INAT LIDI;1010;;
10000032;356-Levantador magnético LM-100;1000;C;;PB2-82330;M;;;INAT LIDI;1010;;
10000033;357-LINGA DE CORRENTE;1000;C;;PB2-82330;P;;;INAT LIDI;1010;;
10000034;365-LEVANTADOR MAGNÉTICO MAXX 1000;1000;C;;PB2-82330;P;;;INAT LIDI;1010;;
10000035;366-LEVANTADOR MAGNÉTICO MAXX 500;1000;C;;PB2-82330;P;;;INAT LIDI;1010;;
10000036;367-LINGA DE CORRENTE 4 RAMAIS, 1,6M;1000;C;;PB2-82330;P;;;LIDI;1010;;
10000037;384-LINGA DE CINTA DE POLIESTER PLANA,2M;1000;C;;PB2-82330;P;;;INAT LIDI;1010;;
10000038;385-LINGA DE CINTA DE POLIESTER PLANA,2M;1000;C;;PB2-82330;P;;;INAT LIDI;1010;;
10000039;912-CINTA DE POLIESTER PLANA 4M AMARELA;1000;C;;PB2-82330;P;;;INAT LIDI;1010;;
10000040;374-CINTA DE POLIESTER PLANA 1M ROXA;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000041;375-CINTA DE POLIESTER PLANA,1M ROXA;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000042;390-LEVANTADOR MAGNÉTICO MAXX 500;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000043;391-LEVANTADOR MAGNÉTICO MAXX 500;1000;C;;PB2-81140;M;;;LIDI;1010;;
10000044;394-LINGA DE CORRENTE 1M;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000045;396-LINGA DE CORRENTE 1M;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000046;402-GANCHO;1000;C;;;P;;;LIDI;1010;;
10000047;950-OLHAL GIRATÓRIO C/ PORCA M12 X 25;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000048;951-OLHAL GIRATÓRIO C/ PORCA M12 X 25;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000049;952-OLHAL GIRATÓRIO C/ PORCA M12 X 25;1000;C;;PB2-81140;P;;;LIDI;1010;;
10000050;346-LINGA DE CORRENTE 2 RAMAIS, 1,7M;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000051;350-DISPOSITIVO ESPECIAL PARA CALHAS;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000052;351-DISPOSITIVO ESPECIAL PARA CALHAS;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000053;353-LINGA DE CORR 2 RAMAIS C/ DISPO ESP;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000054;410-LINGA DE CORR 2X1,76M E 2X1,59M 4RAM;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000055;411-LINGA DE CORRENTE 0,82M 2 RAMAIS;1000;C;;PB2-81150;M;;;INAT LIDI;1010;;
10000056;414-LINGA DE CORR 1,33MC/GANCHOS ESP;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000057;415-LINGA DE CORRENTE 2 RAMAIS;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000058;422-LINGA DE CORR 0,84M C/GANCHO ESP;1000;C;;PB2-81340;P;;;INAT LIDI;1010;;
10000059;423-LINGA DE CORR 0,84M C/GANCHO ESP;1000;C;;PB2-81640;P;;;INAT LIDI;1010;;
10000060;432-OLHAL;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000061;433-OLHAL;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000062;454-LINGA DE CORRENTE, 2 RAMAIS, 2,5 M;1000;C;;PB2-81150;P;;;INAT LIDI;1010;;
10000063;965-LINGA DE CORRENTE 1,69M;1000;C;;PB2-81630;P;;;LIDI;1010;;
10000064;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000065;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000066;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000067;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000068;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000069;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000070;CORRENTE 1,3M 120KG;1000;C;;PB2-81410;P;;;INAT LIDI;1010;;
10000071;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000072;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000073;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000074;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000075;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000076;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000077;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000078;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000079;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000080;CABO DE AÇO 1/2 X 6M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
10000081;CABO DE AÇO 7/8X3,5M;1000;C;;PB2-82620;P;;;INAT LIDI;1010;;
